asset_id,priority,story_beat,category,asset_type,source_url,creator_or_institution,date_or_period,rights_status,rights_note,exact_use,clearance_action,verification_state,acquisition_state
EP13-HA01,MUST,Cold open / object re-establish / final payoff,CROWN_OBJECT,video frame still,https://commons.wikimedia.org/wiki/File:Coroa_de_Nossa_Senhora_de_F%C3%A1tima_(12_de_Maio_de_2017).png,Centro Televisivo Vaticano,2017-05-12,CC BY 3.0 Unported,"Verified live 2026-09-03. Commons records source as CTV video ""Viaggio a Fatima, benvenuto e preghiera alla Cappellina, 12-05-2017"". Attribution, licence link and modification notice required. 1174x768 PNG, 1119 KB, SHA-256 3500d7bb56f17660b2cbc694b8168818694b9df49c9ff586b45c936d3bea2372.","Establishing hero at 0:06, re-establish at the payoff, thumbnail base. Slow push only. Never cut to a full-frame bullet macro from this file.",Preserve Commons revision metadata and render the attribution card,VERIFIED_DIRECT,ACQUIRED
EP13-HA02,MUST,Reveal act,MANUSCRIPT,photostatic facsimile,https://www.vatican.va/roman_curia/congregations/cfaith/documents/rc_con_cfaith_doc_20000626_message-fatima_en.html,Congregation for the Doctrine of the Faith,2000-06-26,REFERENCE_ONLY,"Verified live 2026-09-03. The page states there is one manuscript reproduced photostatically. Vatican portal terms do not grant the commercial reuse this production requires. No open-licence facsimile of these exact photographs was found in two search passes.","Claim and locator source only. Never appears on screen. The reveal is carried by the treatment in 03_VISUALS/REVEAL_ACT_TREATMENT.md.",None. Do not request permission; the reveal does not depend on it.,VERIFIED_DIRECT,NOT_FOR_USE
EP13-A03,MUST,Reveal act,MANUSCRIPT,NOESIS reconstruction,internal,NOESIS,2026,Original work,"Single sheet, approximately 25 lines, based on the attested physical description rather than on any photograph. Must not imitate Sister Lucia's hand, letterforms, ink behaviour, paper damage or layout.","Physical object beats where a page must be handled, sealed, carried or opened.",Design to the treatment document; 1.5 to 2.0 s disclosure at first entry only,SPEC_LOCKED,PENDING_PRODUCTION
EP13-A04,MUST,Reveal act,VISION,NOESIS reconstruction sequence,internal,NOESIS,2026,Original work,"Six images named in the Vatican text: angel with flaming sword and flames that go out; bishop in white; city half in ruins; corpses on the way; steep mountain with a large rough-hewn cross; soldiers firing bullets and arrows. Reconstruction of a described vision, so it cannot be mistaken for a record of an event.","The reveal act. Carries minutes five to six in place of the facsimile.",Distinct visual grammar per the treatment document,SPEC_LOCKED,PENDING_PRODUCTION
EP13-A05,MUST,Reveal act / what the page never says,EVIDENCE_CARD,NOESIS card,internal,NOESIS,2026,Original work,"Card listing what the published text contains, then what it does not: no name, no date, no square, no survivor. The card does work no photograph can do.","Immediately after the vision sequence, before the turn to the crown.",Mobile-readable, one idea per card,SPEC_LOCKED,PENDING_PRODUCTION
EP13-A06,MUST,Chronology beats,EVIDENCE_CARD,NOESIS card,internal,NOESIS,2026,Original work,"Dates and locators only: 3 January 1944; 1957 Holy Office; 1959; 1965; 18 July 1981; 2000 publication. Sourced to the Vatican document.","Replaces spoken date load with on-screen text where the voice has dropped a year.",Mobile-readable,SPEC_LOCKED,PENDING_PRODUCTION
EP13-A07,SHOULD,1917 Fatima,HISTORICAL,archive photograph,https://commons.wikimedia.org/wiki/File:Jacinta_marto_lucia_santos.jpg,unknown photographer,1917-1920,Public domain,"Resolved 2026-09-03. Portraits of the seer children plus 1917 Fatima crowd material are in the acquired Commons pool. See COMMONS_ASSET_MANIFEST.csv. 1240x1772, below HD; usable as an inset or a card element rather than full frame.","Girl-and-pencil beat. Lucia specifically, since the script names only her.",Acquired; select final frame at cue-sheet lock,VERIFIED_DIRECT,ACQUIRED
EP13-A08,SHOULD,13 May 1981,HISTORICAL,object photograph,https://commons.wikimedia.org/wiki/File:Popemobile_assassination_attempt_John_Paul_II_13_may_1981_Vatican_13.jpg,Jebulon,2013 photograph of the 1981 vehicle,CC0,"Resolved 2026-09-03 without an agency licence. The actual Fiat Campagnola, plate SCV 1, that John Paul II was riding in on 13 May 1981, photographed in its museum display. 3210x2582, CC0. A contemporary press photograph of the wounded pope hangs on the wall behind it and is visible in frame.","The attack beat, played as object rather than as newsreel. Fits the series grammar: a second surviving object from that afternoon, preserved behind glass, alongside the bullet in the crown. Do not use it to assert where the projectile was recovered; the source lock holds that open under C15.",Acquired,VERIFIED_DIRECT,ACQUIRED
EP13-A10,COULD,13 May 1981,HISTORICAL,press photograph,https://commons.wikimedia.org/wiki/File:Pope_John_Paul_II_After_Assassination_Attempt.jpg,Arturo Mari / Associated Press,1981-05-13,Public domain,"Commons records this as public domain with an Associated Press credit. 1576x1045. A press-agency credit on a public-domain tag is worth a second check before it carries a beat on its own.",Optional single insert at the attack beat.,Re-verify the public-domain basis before use,VERIFIED_DIRECT_RIGHTS_QUERY,ACQUIRED
EP13-A09,COULD,EP14 handoff,SEAL_LETTER,schematic reconstruction,internal,NOESIS,2026,Original work,"Shares the EP14 hero reconstruction. See EP14 heroasset lock.","Closing teaser only, brief.",Reuse EP14 build,SPEC_LOCKED,PENDING_PRODUCTION
