cue_id,act,voice_anchor,visual_type,visual_concept,subshots,avg_shot_s,archive_anchor,retention_function,notes
V5_001,S1,"Zürich Oktober 1932",ARCHIVE_MOTION,"historisches Zürich + schneller Push in Vortragssituation",4,3.0,"Zurich_1932",cold_open,"kein generisches Vintage-Overlay"
V5_002,S1,"spricht über Kundalini-Yoga",ORIGINAL_ASSET,"historische Chakra-Tafel Detail Blüten/Sanskrit",4,3.0,"SerpentPower_Plate",object_reveal,"erst Detail dann Gesamtansicht"
V5_003,S1,"eine Schlange",ORIGINAL_ASSET,"Kundalini-Schlange im historischen Diagramm",3,3.5,"SerpentPower_Kundalini",mystery_object,"noch keine Jung-Vision matchen"
V5_004,S1,"Jung ist siebenundfünfzig",ARCHIVE,"Jung Porträt ca 1930 mit 2 Detail-Crops",3,3.5,"Jung_1930s",character_anchor,"Name/Rang sofort"
V5_005,S1,"Er warnt",QUOTE_CARD,"Jung-Warnung Original + deutsche Kurzübertragung",3,4.0,"Kundalini_Seminar_quote",authority_reveal,"exakte Seite vor Master locken"
V5_006,S1,"Flut Höhle rote Sonne schwarze Schlange",AI_RECON_MONTAGE,"4 harte Flash-Frames aus Innenwelt",4,2.0,"",future_promise,"keine Fantasy-Cosplay-Ästhetik"
V5_007,S1,"Jetzt steht vor ihm eine fremde Karte",MATCH_CUT,"historische Schlange -> schwarze Rekonstruktionsschlange -> Diagramm",3,3.0,"SerpentPower_Kundalini",central_question,"Parallele suggerieren nicht beweisen"
V5_008,S2,"Oktober 1913",ARCHIVE,"Jung ca 1910 + Zugkarte Schweiz",3,4.0,"Jung_1910",timeline_reset,"harte Jahreskarte nur 0.8s"
V5_009,S2,"Zug durch die Schweiz",AI_RECON,"Fensterreflexion Landschaft rückwärts gleitend",3,4.5,"",immersion,"subtil surreal"
V5_010,S2,"Bruch mit Freud",ARCHIVE_MOTION,"Freud/Jung Originalfoto + sichtbare Trennung im Crop",3,4.0,"Freud_Jung_1909",biography_turn,"kein AI-Doppelportrait"
V5_011,S2,"Europa unter Wasser",AI_RECON,"gelbe Flut über Karte/Architektur traumlogisch",4,4.0,"",spectacle,"kein realistischer Katastrophenfilm"
V5_012,S2,"Meer rot",AI_RECON,"langsamer Farbwechsel Wasser gelb -> dunkelrot",3,5.0,"",mystery_hold,"einer der längeren Holds"
V5_013,S2,"Psychose bedroht",ARCHIVE_ABSTRACT,"Burghölzli außen + dunkle Reflexion von Jung",3,4.0,"Burgholzli",stakes,"keine psychiatrischen Stockpatienten"
V5_014,S2,"Sommer 1914 Krieg",ARCHIVE,"echte Zeitung/Karte/Mobilmachung statt AI-Krieg",4,3.5,"WWI_1914",reality_snap,"Innenwelt bricht abrupt ab"
V5_015,S2,"Vielleicht war nicht alles privat",MOTION_GRAPHIC,"Europa-Karte überlagert sich mit Wassertextur",3,4.5,"WWI_map",question_turn,"keine Prophezeiungsbehauptung"
