asset_id,family_id,asset_type,status,file_path,source_id,provider,model,prompt_id,seed_or_operation,content_sha256,perceptual_hash,series_usage,first_cue,last_cue,first_start_seconds,last_end_seconds,rights_status,visible_mode_badge,qa_status,notes
KZ_CLIP_ROTATION_HOOK,KZ_CLIP_ROTATION_HOOK,PROGRESSIVE_CLIP,SELECTED,04_ASSETS/CLIPS/CONFORMED_25FPS/KZ_CLIP_ROTATION_HOOK.mp4,,LOCAL_MOTION_CONFORM,ffmpeg minterpolate 50fps to 25fps,KZ_CLIP_ROTATION_HOOK_CONFORM_V1,deterministic-motion-conform-v1,da67bd0c27f4d550d5b602a5b8ec3e85a506d1cb6cb1704f7be97f29cc737aa6,abc3515193d3b103,EP01_ONLY,KZ-CUE-001,KZ-CUE-001,0.460,2.480,GENERATED_PROJECT_ASSET,NO,VISUAL_QA_PASS,One contiguous timeline block only; no later return. Viewer-facing mode labels prohibited.
KZ_DATA_PATENT_FILING_ANCHOR,KZ_SEQ_PATENT_HOOK,STILL,SELECTED,04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_DATA_PATENT_FILING_ANCHOR.png,KZ-SRC-001,LOCAL_DETERMINISTIC_PIL,Pillow source-faithful compositor,KZ_DATA_PATENT_FILING_ANCHOR_SOURCE_FIGURE_V1,deterministic-local-build-v1,7d63a232eaf618dc98526a6a89c562a7e106a871ae7679d7203b065b0479e47f,9363557424251332,EP01_ONLY,KZ-CUE-002,KZ-CUE-002,3.120,8.910,CLEARED_FOR_DOCUMENTARY_QUOTATION,NO,VISUAL_QA_PASS,One contiguous timeline block only; no later return. Viewer-facing mode labels prohibited.
KZ_DOC_002,KZ_SEQ_PATENT_HOOK,STILL,SELECTED,04_ASSETS/GENERATED/DOCUMENT_EVIDENCE/KZ_DOC_002.png,KZ-SRC-001,LOCAL_DOCUMENT_EVIDENCE,Original-source raster compositor,KZ_DOC_002_EXACT_EVIDENCE_V1,deterministic-document-build-v1,89517dfd9a1298a10f362dcc4f4863d99b518f91b59ddd1d815c7926f0a4bcbe,7575253535652561,EP01_ONLY,KZ-CUE-003,KZ-CUE-003,9.500,15.290,CLEARED_FOR_DOCUMENTARY_QUOTATION,NO,VISUAL_QA_PASS,One contiguous timeline block only; no later return. Viewer-facing mode labels prohibited.
KZ_CARD_MEDICAL_TO_TIME_MACHINE,KZ_SEQ_PATENT_HOOK,STILL,SELECTED,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_MEDICAL_TO_TIME_MACHINE.png,,LOCAL_DETERMINISTIC_PIL,Pillow deterministic compositor,KZ_CARD_MEDICAL_TO_TIME_MACHINE_DETERMINISTIC_V1,deterministic-local-build-v1,0b6c12cd989355e30d3be513009a39e169b3d0ec4872fca0570a462401d04eb2,841b7b5313130f0d,EP01_ONLY,KZ-CUE-004,KZ-CUE-004,15.980,20.540,ORIGINAL_LOCAL_GRAPHIC,NO,VISUAL_QA_PASS,One contiguous timeline block only; no later return. Viewer-facing mode labels prohibited.
KZ_SRC_KOZYREV_PORTRAIT_1983,KZ_SEQ_1983_1996_CONTRADICTION,STILL,SELECTED,04_ASSETS/GENERATED/DETERMINISTIC/KZ_SRC_KOZYREV_PORTRAIT_1983.png,KZ-SRC-002,LOCAL_DETERMINISTIC_PIL,Pillow deterministic compositor,KZ_SRC_KOZYREV_PORTRAIT_1983_DETERMINISTIC_V1,deterministic-local-build-v1,4f43445f3b7fc933e38cff6eee3c81a99b8fc1d1712784033f3764139fc686ce,0d0d3d3c4ea50d4c,EP01_ONLY,KZ-CUE-005,KZ-CUE-005,21.200,23.580,CLEARED,NO,VISUAL_QA_PASS,One contiguous timeline block only; no later return. Viewer-facing mode labels prohibited.
KZ_SRC_INVENTOR_PAIR_1996,KZ_SEQ_1983_1996_CONTRADICTION,STILL,SELECTED,04_ASSETS/GENERATED/DETERMINISTIC/KZ_SRC_INVENTOR_PAIR_1996.png,KZ-SRC-004+005,LOCAL_DETERMINISTIC_PIL,Pillow deterministic compositor,KZ_SRC_INVENTOR_PAIR_1996_DETERMINISTIC_V1,deterministic-local-build-v1,0bf8697e03f8d939a2ef94226f66ac440569e2d73af3b0516e3ccf00c9b0c850,2351515575756689,EP01_ONLY,KZ-CUE-006,KZ-CUE-006,24.200,29.260,DOCUMENTARY_QUOTATION_REVIEWED,NO,VISUAL_QA_PASS,One contiguous timeline block only; no later return. Viewer-facing mode labels prohibited.
KZ_CARD_1983_1996_CONTRADICTION,KZ_SEQ_1983_1996_CONTRADICTION,STILL,SELECTED,04_ASSETS/GENERATED/DETERMINISTIC/KZ_CARD_1983_1996_CONTRADICTION.png,,LOCAL_DETERMINISTIC_PIL,Pillow deterministic compositor,KZ_CARD_1983_1996_CONTRADICTION_DETERMINISTIC_V1,deterministic-local-build-v1,e5fef4249ae658a8d6b695f58226b7fa806e59de18b53a837b535933f3fdb27f,85317286130b1e1b,EP01_ONLY,KZ-CUE-007,KZ-CUE-008,30.180,35.440,ORIGINAL_LOCAL_GRAPHIC,NO,VISUAL_QA_PASS,One contiguous timeline block only; no later return. Viewer-facing mode labels prohibited.
KZ_EN_HERO01,KZ_EN_HERO01,STILL,SELECTED,04_ASSETS/GENERATED/NANO_BANANA_PRO/KZ_EN_HERO01.png,,NANO_BANANA_PRO,gemini-3-pro-image-preview,KZ_EN_HERO01_V1,cached-accepted-generation,a34dcae75ee781aab27da71697ad57b37d2b48aef3805a3f34bc9ed741d8e81b,92d6666646866961,EP01_ONLY,KZ-CUE-009,KZ-CUE-009,35.960,37.560,GENERATED_PROJECT_ASSET,NO,VISUAL_QA_PASS,One contiguous timeline block only; no later return. Viewer-facing mode labels prohibited.
KZ_FIG_PATENT_CYLINDER,KZ_SEQ_PATENT_CONFIGURATIONS,STILL,SELECTED,04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_FIG_PATENT_CYLINDER.png,KZ-SRC-001,LOCAL_DETERMINISTIC_PIL,Pillow source-faithful compositor,KZ_FIG_PATENT_CYLINDER_SOURCE_FIGURE_V1,deterministic-local-build-v1,6f55d3a9add93d5d1be073274c48eb3049ea4e5cbe9c9d205320b369a51f7620,47416b6b63674743,EP01_ONLY,KZ-CUE-010,KZ-CUE-010,37.920,39.420,CLEARED_FOR_DOCUMENTARY_QUOTATION,NO,VISUAL_QA_PASS,One contiguous timeline block only; no later return. Viewer-facing mode labels prohibited.
KZ_MODEL_CLOCKWISE_SPIRAL,KZ_SEQ_PATENT_CONFIGURATIONS,STILL,SELECTED,04_ASSETS/GENERATED/FINAL_DOCUMENT_TIMELINE/KZ_MODEL_CLOCKWISE_SPIRAL.png,KZ-SRC-001,LOCAL_DETERMINISTIC_PIL,Pillow source-faithful compositor,KZ_MODEL_CLOCKWISE_SPIRAL_SOURCE_FIGURE_V1,deterministic-local-build-v1,0da30ec18c29a9b7894d5cf3af2b476627ff96a7bc0983592c2ca083ac80ed45,716c86460ace060c,EP01_ONLY,KZ-CUE-011,KZ-CUE-011,39.860,40.900,CLEARED_FOR_DOCUMENTARY_QUOTATION,NO,VISUAL_QA_PASS,One contiguous timeline block only; no later return. Viewer-facing mode labels prohibited.
