order,section,type,filename,use
1,S1-S2,MAIN,IMG001_ART_BELL_RADIO_RECON.png,PRIMARY
2,S1-S2,MAIN,IMG002_4500_MESSAGES_MATERIAL.png,PRIMARY
3,S1-S2,MAIN,IMG003_SHADOW_DOORWAY_GENERIC.png,PRIMARY
4,S1-S2,MAIN,IMG004_SHADOW_PERIPHERAL_GLIMPSE.png,PRIMARY
5,S1-S2,MAIN,IMG005_EARLY_WEB_FORUM_RECON.png,PRIMARY
6,S1-S2,MAIN,IMG006_SHADOW_DRAWINGS_SPREAD.png,PRIMARY
7,S1-S2,MAIN,IMG007_NAME_STABILIZES_SHAPE.png,PRIMARY
8,S1-S2,MAIN,IMG008_INTRUDER_OVERLAP_BASE.png,PRIMARY
9,S1-S2,RESERVE,SHOT01_RADIO_MICROPHONE_MACRO.png,OPTIONAL
10,S1-S2,RESERVE,SHOT02_CRT_DARK_ROOM.png,OPTIONAL
11,S3-S4,MAIN,IMG009_ALIEN_BEDROOM_IMMOBILITY.png,PRIMARY
12,S3-S4,MAIN,IMG010_GREY_FORM_AMBIGUOUS.png,PRIMARY
13,S3-S4,MAIN,IMG011_FLOATING_SENSATION_RECON.png,PRIMARY
14,S3-S4,MAIN,IMG012_TOUCH_WITHOUT_AGENT.png,PRIMARY
15,S3-S4,MAIN,IMG013_HARVARD_INTERVIEW_GENERIC.png,PRIMARY
16,S3-S4,MAIN,IMG014_MEMORY_RECONSTRUCTION_LAYERS.png,PRIMARY
17,S3-S4,MAIN,IMG015_SUGGESTIVE_INTERVIEW_BASE.png,PRIMARY
18,S3-S4,MAIN,IMG016_LIE_VS_SPACESHIP_FALSE_CHOICE.png,PRIMARY
19,S3-S4,RESERVE,SHOT03_BRIGHT_BLINDS.png,OPTIONAL
20,S3-S4,RESERVE,SHOT04_INTERVIEW_TAPE_MACRO.png,OPTIONAL
21,S5-S6,MAIN,IMG017_HAT_MAN_FOOT_OF_BED.png,PRIMARY
22,S5-S6,MAIN,IMG018_HAT_BRIM_MINIMAL.png,PRIMARY
23,S5-S6,MAIN,IMG019_HAT_MAN_AS_ROOM_GEOMETRY.png,PRIMARY
24,S5-S6,MAIN,IMG020_HAT_MAN_REPORT_VARIATIONS.png,PRIMARY
25,S5-S6,MAIN,IMG021_MULTIPLE_CAUSES_SAME_SILHOUETTE.png,PRIMARY
26,S5-S6,MAIN,IMG022_INTERNET_SUPPLIES_HAT.png,PRIMARY
27,S5-S6,MAIN,IMG023_PATTERN_OR_MEME_BASE.png,PRIMARY
28,S5-S6,MAIN,IMG024_SEARCH_AFTER_EXPERIENCE.png,PRIMARY
29,S5-S6,RESERVE,SHOT05_HAT_SHADOW_EMPTY_ROOM.png,OPTIONAL
30,S5-S6,RESERVE,SHOT06_BLANK_SKETCH_PAGE.png,OPTIONAL
31,S7-S8,MAIN,IMG025_DOCUMENTARY_SCREENING_RECON.png,PRIMARY
32,S7-S8,MAIN,IMG026_FORUM_TO_IMAGE_TO_EXPECTATION.png,PRIMARY
33,S7-S8,MAIN,IMG027_GLOBAL_VISUAL_MEMORY.png,PRIMARY
34,S7-S8,MAIN,IMG028_HOURS_NOT_GENERATIONS.png,PRIMARY
35,S7-S8,MAIN,IMG029_THREE_EPISODE_MOTIF_TABLE.png,PRIMARY
36,S7-S8,MAIN,IMG030_BRAIN_EXPERIENCE_STORY_EXPECTATION_BASE.png,PRIMARY
37,S7-S8,MAIN,IMG031_HAT_MAN_DISSOLVES_INTO_PIXELS.png,PRIMARY
38,S7-S8,MAIN,IMG032_FINAL_EMPTY_BEDROOM_SCREEN_GLOW.png,PRIMARY
39,S7-S8,RESERVE,SHOT07_MULTIPLE_BLANK_FORUM_WINDOWS.png,OPTIONAL
40,S7-S8,RESERVE,SHOT08_DAWN_MONITOR_OFF.png,OPTIONAL
41,S1-S2,VEO,CLIP001_RADIO_NETWORK_ENTITY.mp4,PRIMARY_TRANSFORMATIVE_MOTION
42,S3-S4,VEO,CLIP002_SHADOW_DETACHES.mp4,PRIMARY_TRANSFORMATIVE_MOTION
43,S3-S4,VEO,CLIP003_MEMORY_RECONSTRUCTION.mp4,PRIMARY_TRANSFORMATIVE_MOTION
44,S5-S8,VEO,CLIP004_COLLECTIVE_IMAGE_LOOP.mp4,PRIMARY_TRANSFORMATIVE_MOTION
45,S1-S2,CARD,CARDS/CARD001_4500_NACHRICHTEN.png,INSERT_AFTER_IMG002
46,S1-S2,CARD,CARDS/CARD002_INTRUDER_OVERLAP.png,INSERT_AFTER_IMG008
47,S3-S4,CARD,CARDS/CARD003_ABDUCTION_OVERLAP.png,INSERT_AFTER_IMG012
48,S3-S4,CARD,CARDS/CARD004_MEMORY_RECONSTRUCTION.png,INSERT_AFTER_IMG015
49,S5-S8,CARD,CARDS/CARD005_INTERNET_FEEDBACK.png,INSERT_AFTER_IMG026
50,S7-S8,CARD,CARDS/CARD006_FINAL_LOOP.png,INSERT_AFTER_IMG030
51,S7-S8,CARD,CARDS/CARD007_CTA_MUSTER_MEME.png,INSERT_AFTER_IMG031
52,S7-S8,CARD,CARDS/CARD008_ENDCARD.png,FINAL_AFTER_IMG032
